Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda
Sudeste,SP,Águas de São Pedro,"0,8932","0,8413","0,8827","0,9556"
Sudeste,SP,São Caetano do Sul,"0,8882","0,8508","0,8238","0,9900"
Sul,PR,Curitiba,"0,8855","0,8394","0,8171","1,0000"
Sul,PR,Maringá,"0,8814","0,8452","0,7991","1,0000"
Sudeste,SP,Americana,"0,8813","0,8491","0,8246","0,9703"
Sul,PR,Toledo,"0,8763","0,8386","0,7970","0,9933"
Sul,PR,Marechal Cândido Rondon,"0,8751","0,8202","0,8188","0,9862"
Sudeste,SP,São José do Rio Preto,"0,8750","0,7996","0,8503","0,9750"
Sul,PR,Francisco Beltrão,"0,8742","0,8472","0,8156","0,9599"
Sudeste,SP,Indaiatuba,"0,8723","0,8222","0,8302","0,9646"
Sul,RS,Lajeado,"0,8680","0,7637","0,8411","0,9992"
Sudeste,SP,São Carlos,"0,8675","0,8483","0,7732","0,9811"
Sul,PR,Cianorte,"0,8652","0,7963","0,8456","0,9538"
Sul,PR,Dois Vizinhos,"0,8646","0,8258","0,7879","0,9800"
Sudeste,SP,Jundiaí,"0,8637","0,8617","0,7890","0,9403"
Sudeste,SP,Bebedouro,"0,8634","0,8218","0,7763","0,9922"
Sudeste,SP,Botucatu,"0,8622","0,8373","0,8052","0,9440"
Sul,RS,Campo Bom,"0,8617","0,7937","0,8363","0,9550"
Sul,PR,Campo Mourão,"0,8615","0,7955","0,8109","0,9782"
Sudeste,SP,São João da Boa Vista,"0,8602","0,8337","0,8230","0,9238"
Sul,RS,Ijuí,"0,8600","0,7827","0,8393","0,9580"
Sudeste,SP,Bragança Paulista,"0,8578","0,8195","0,7889","0,9649"
Sudeste,SP,São Bernardo do Campo,"0,8576","0,8323","0,8087","0,9319"
Sudeste,SP,Bauru,"0,8572","0,7895","0,8065","0,9756"
Sudeste,SP,Votuporanga,"0,8572","0,8533","0,7976","0,9208"
Sudeste,SP,Amparo,"0,8564","0,8341","0,8047","0,9305"
Sudeste,SP,Sorocaba,"0,8557","0,8473","0,7434","0,9764"
Sudeste,SP,Ouroeste,"0,8553","0,8844","0,7423","0,9393"
Sudeste,SP,Dracena,"0,8551","0,8709","0,7744","0,9200"
Sudeste,SP,Pontes Gestal,"0,8538","0,8591","0,8404","0,8619"
Sul,PR,Pato Branco,"0,8537","0,8029","0,7653","0,9928"
Sudeste,SP,Araras,"0,8534","0,8570","0,7815","0,9217"
Sudeste,SP,Atibaia,"0,8534","0,8322","0,7541","0,9739"
Sudeste,SP,Fernandópolis,"0,8533","0,8436","0,8477","0,8685"
Sudeste,SP,Campinas,"0,8529","0,7721","0,7886","0,9981"
Sul,PR,Itaipulândia,"0,8529","0,7836","0,8108","0,9643"
Sul,SC,São Bento do Sul,"0,8524","0,7869","0,7804","0,9899"
Sudeste,SP,Lençóis Paulista,"0,8519","0,8232","0,7396","0,9928"
Sul,PR,União da Vitória,"0,8514","0,8232","0,7828","0,9482"
Sudeste,SP,Catanduva,"0,8513","0,8392","0,7920","0,9226"
Sudeste,SP,Jaguariúna,"0,8513","0,8079","0,8376","0,9083"
Sul,PR,Palotina,"0,8512","0,8373","0,7481","0,9682"
Sul,RS,Carlos Barbosa,"0,8509","0,7819","0,8687","0,9022"
Sudeste,SP,São José dos Campos,"0,8497","0,8359","0,7576","0,9557"
Sudeste,SP,Presidente Prudente,"0,8490","0,8327","0,7910","0,9233"
Sudeste,SP,Itirapina,"0,8486","0,7462","0,8002","0,9994"
Sudeste,SP,Cerquilho,"0,8485","0,8166","0,7879","0,9411"
Sudeste,SP,Santo André,"0,8485","0,8009","0,7735","0,9710"
Sul,SC,Joaçaba,"0,8482","0,7370","0,8075","1,0000"
Sul,PR,Paranavaí,"0,8479","0,8386","0,7762","0,9290"
Sudeste,ES,Venda Nova do Imigrante,"0,8470","0,8596","0,8009","0,8804"
Sul,RS,Santa Rosa,"0,8467","0,7517","0,8101","0,9784"
Sudeste,SP,Marília,"0,8463","0,8212","0,7539","0,9639"
Sudeste,MG,Poços de Caldas,"0,8457","0,7419","0,8254","0,9697"
Sul,PR,Pinhais,"0,8453","0,7733","0,7908","0,9718"
Sul,SC,São Miguel do Oeste,"0,8452","0,7899","0,7547","0,9910"
Sudeste,SP,Itu,"0,8449","0,7986","0,7822","0,9538"
Sudeste,SP,Ribeirão Preto,"0,8447","0,7364","0,8002","0,9976"
Sudeste,SP,Olímpia,"0,8443","0,8748","0,6819","0,9762"
Sudeste,SP,Guararema,"0,8442","0,8229","0,8036","0,9060"
Sudeste,SP,Barueri,"0,8441","0,7955","0,7369","1,0000"
Sul,PR,Mandaguari,"0,8439","0,8503","0,7230","0,9584"
Sul,RS,Encantado,"0,8434","0,6987","0,8556","0,9759"
Sudeste,SP,Limeira,"0,8431","0,8315","0,7292","0,9685"
Sul,RS,Ivoti,"0,8430","0,7281","0,8086","0,9922"
Sul,SC,Jaraguá do Sul,"0,8429","0,7111","0,8280","0,9895"
Sul,PR,Apucarana,"0,8428","0,8370","0,7760","0,9154"
Sul,SC,Brusque,"0,8428","0,7122","0,8264","0,9898"
Sudeste,SP,Araraquara,"0,8424","0,8201","0,7343","0,9728"
Sudeste,SP,São Roque,"0,8423","0,7925","0,7773","0,9572"
Centro-Oeste,GO,Ceres,"0,8422","0,8770","0,7507","0,8990"
Sudeste,SP,Nova Aliança,"0,8421","0,8093","0,8143","0,9027"
Sudeste,SP,Jales,"0,8413","0,8649","0,7745","0,8845"
Sul,RS,Casca,"0,8410","0,7506","0,8380","0,9344"
Sudeste,SP,Adamantina,"0,8404","0,8306","0,7921","0,8984"
Sudeste,SP,Rio Claro,"0,8398","0,7976","0,7425","0,9794"
Sudeste,SP,Barretos,"0,8396","0,8237","0,7658","0,9292"
Sul,SC,Cocal do Sul,"0,8395","0,7347","0,8107","0,9731"
Sudeste,SP,Assis,"0,8394","0,8230","0,7740","0,9213"
Sul,PR,Cascavel,"0,8391","0,7711","0,7658","0,9803"
Sul,SC,Criciúma,"0,8390","0,7550","0,7780","0,9839"
Sudeste,SP,Piracicaba,"0,8377","0,8388","0,7434","0,9308"
Sul,RS,Gramado,"0,8375","0,6874","0,8251","1,0000"
Sudeste,SP,Itatiba,"0,8372","0,8114","0,7523","0,9478"
Sudeste,SP,Orindiúva,"0,8371","0,8024","0,8127","0,8963"
Sudeste,SP,Santa Cruz do Rio Pardo,"0,8370","0,8427","0,7276","0,9407"
Sul,RS,Montenegro,"0,8366","0,7513","0,8300","0,9285"
Sul,PR,Rio Negro,"0,8357","0,8491","0,7783","0,8798"
Sul,PR,Umuarama,"0,8353","0,7573","0,7984","0,9503"
Sul,RS,Morro Reuter,"0,8347","0,8112","0,7584","0,9345"
Sudeste,SP,Santa Clara d'Oeste,"0,8344","0,8553","0,7027","0,9451"
Sudeste,SP,Águas de Santa Bárbara,"0,8341","0,8113","0,8147","0,8763"
Sul,PR,Londrina,"0,8341","0,7681","0,7632","0,9709"
Sul,SC,Corupá,"0,8341","0,7179","0,8111","0,9733"
Sudeste,SP,Vinhedo,"0,8335","0,8277","0,7505","0,9224"
Sul,SC,Rio do Sul,"0,8334","0,7261","0,7783","0,9958"
Sul,PR,Cafelândia,"0,8331","0,8213","0,7441","0,9339"
Sul,RS,Veranópolis,"0,8327","0,7419","0,8357","0,9205"
Sudeste,SP,Cedral,"0,8326","0,7140","0,8145","0,9692"
Sudeste,SP,Junqueirópolis,"0,8326","0,9071","0,7172","0,8736"
Sul,RS,Farroupilha,"0,8322","0,7691","0,7365","0,9909"
Sul,SC,Pomerode,"0,8316","0,7659","0,7620","0,9668"
Sudeste,SP,Bernardino de Campos,"0,8315","0,7889","0,7858","0,9197"
Sul,PR,Ponta Grossa,"0,8315","0,7956","0,7388","0,9602"
Sudeste,SP,Andradina,"0,8314","0,8100","0,7454","0,9389"
Sudeste,SP,Araçatuba,"0,8314","0,8556","0,7214","0,9172"
Sul,RS,Picada Café,"0,8312","0,8084","0,7341","0,9511"
Sul,RS,Erechim,"0,8307","0,7489","0,7707","0,9726"
Sudeste,SP,Itapetininga,"0,8306","0,8061","0,7478","0,9380"
Sudeste,SP,Nova Odessa,"0,8306","0,8194","0,7043","0,9682"
Sudeste,MG,Alfenas,"0,8300","0,7762","0,7839","0,9300"
Sul,SC,Chapecó,"0,8300","0,6628","0,8271","1,0000"
Nordeste,CE,Eusébio,"0,8298","0,8760","0,7299","0,8834"
Sudeste,SP,Analândia,"0,8298","0,7419","0,8889","0,8586"
Sul,RS,Nova Petrópolis,"0,8297","0,7479","0,7750","0,9661"
Sudeste,SP,Dumont,"0,8294","0,8188","0,8817","0,7876"
Sudeste,SP,Santa Fé do Sul,"0,8291","0,8560","0,7509","0,8804"
Sudeste,SP,Santos,"0,8288","0,7837","0,7820","0,9207"
Sudeste,MG,Pará de Minas,"0,8287","0,7676","0,7768","0,9417"
Sudeste,SP,Taubaté,"0,8286","0,8163","0,7428","0,9268"
Sul,PR,Arapongas,"0,8284","0,7969","0,7305","0,9579"
Sul,RS,Arroio do Meio,"0,8276","0,7560","0,7910","0,9357"
Sudeste,SP,Monte Alto,"0,8275","0,8258","0,7298","0,9269"
Sudeste,SP,Porto Ferreira,"0,8271","0,7534","0,7768","0,9510"
Sudeste,SP,São Paulo,"0,8271","0,7593","0,7708","0,9511"
Sudeste,MG,Uberlândia,"0,8267","0,7230","0,7814","0,9757"
Sul,SC,Videira,"0,8266","0,7371","0,7470","0,9958"
Sul,RS,Bento Gonçalves,"0,8266","0,6965","0,7869","0,9964"
Sul,RS,Paraí,"0,8264","0,8045","0,7347","0,9399"
Sudeste,SP,Mogi das Cruzes,"0,8262","0,8547","0,7187","0,9052"
Sul,SC,Concórdia,"0,8260","0,7730","0,7050","1,0000"
Sul,RS,Estrela,"0,8255","0,7207","0,8051","0,9506"
Sul,RS,Garibaldi,"0,8255","0,7438","0,7736","0,9591"
Sudeste,SP,Valinhos,"0,8251","0,7723","0,7141","0,9889"
Sul,SC,Blumenau,"0,8250","0,7071","0,7678","1,0000"
Sudeste,MG,Santa Rita do Sapucaí,"0,8248","0,8303","0,7127","0,9314"
Sudeste,SP,Matão,"0,8245","0,7967","0,7039","0,9729"
Sudeste,SP,Agudos,"0,8239","0,7990","0,7475","0,9252"
Sul,RS,Três Arroios,"0,8239","0,8088","0,7652","0,8977"
Sudeste,SP,Itapira,"0,8238","0,7546","0,7577","0,9590"
Sudeste,SP,Casa Branca,"0,8237","0,8182","0,7821","0,8707"
Sudeste,SP,Santa Bárbara d'Oeste,"0,8235","0,8346","0,6881","0,9478"
Sudeste,SP,Avaré,"0,8229","0,8143","0,7343","0,9200"
Sudeste,SP,Roseira,"0,8229","0,7717","0,8783","0,8187"
Sudeste,SP,Tupã,"0,8227","0,8342","0,7584","0,8754"
Sudeste,SP,Jaboticabal,"0,8226","0,8053","0,7335","0,9289"
Sul,SC,Balneário Camboriú,"0,8224","0,6949","0,7722","1,0000"
Sul,PR,Quatro Pontes,"0,8221","0,8008","0,7086","0,9568"
Sudeste,SP,Osvaldo Cruz,"0,8219","0,8568","0,7357","0,8732"
Sul,RS,Nova Boa Vista,"0,8219","0,7765","0,7822","0,9069"
Sul,SC,Caibi,"0,8209","0,7335","0,8029","0,9264"
Sul,RS,Marau,"0,8208","0,7154","0,7892","0,9579"
Sul,RS,Dois Irmãos,"0,8207","0,7218","0,7990","0,9414"
Sul,SC,Massaranduba,"0,8205","0,7141","0,7882","0,9592"
Nordeste,PE,Fernando de Noronha,"0,8202","0,7439","0,7390","0,9778"
Sudeste,ES,Vitória,"0,8200","0,7934","0,7359","0,9308"
Sudeste,SP,Mendonça,"0,8198","0,8259","0,7281","0,9055"
Sul,PR,Medianeira,"0,8191","0,7684","0,7184","0,9704"
Sul,SC,Bombinhas,"0,8188","0,7953","0,7146","0,9464"
Sudeste,MG,Pouso Alegre,"0,8186","0,7411","0,7423","0,9723"
Sul,RS,Santa Cruz do Sul,"0,8183","0,7063","0,7899","0,9587"
Sudeste,SP,Descalvado,"0,8181","0,7836","0,7261","0,9445"
Sudeste,SP,Pedreira,"0,8176","0,8120","0,7241","0,9168"
Sul,SC,Ibirama,"0,8175","0,7482","0,7888","0,9156"
Sul,PR,Itapejara d'Oeste,"0,8174","0,7524","0,7755","0,9244"
Sul,SC,Luzerna,"0,8172","0,8552","0,6238","0,9726"
Sul,PR,Araucária,"0,8170","0,7657","0,7955","0,8898"
Sudeste,SP,Tietê,"0,8165","0,8011","0,6682","0,9803"
Sudeste,MG,Ipatinga,"0,8164","0,7793","0,7603","0,9097"
Sul,RS,Nova Prata,"0,8164","0,7305","0,7830","0,9356"
Centro-Oeste,MT,Lucas do Rio Verde,"0,8160","0,7792","0,7226","0,9462"
Sudeste,SP,Campos do Jordão,"0,8148","0,8162","0,6910","0,9371"
Sul,PR,Castro,"0,8148","0,7609","0,7336","0,9498"
Sudeste,SP,Holambra,"0,8143","0,8036","0,6470","0,9923"
Sudeste,SP,Iracemápolis,"0,8141","0,8554","0,7287","0,8581"
Sul,RS,Novo Hamburgo,"0,8139","0,6948","0,7729","0,9741"
Sudeste,SP,São José do Rio Pardo,"0,8138","0,7923","0,7505","0,8987"
Sudeste,SP,Meridiano,"0,8137","0,8576","0,7599","0,8236"
Sudeste,SP,Tarumã,"0,8134","0,8164","0,6531","0,9706"
Sudeste,SP,Caieiras,"0,8129","0,8259","0,7183","0,8945"
Sul,PR,Cornélio Procópio,"0,8128","0,7968","0,7230","0,9185"
Sul,RS,Barra Funda,"0,8127","0,6788","0,8103","0,9489"
Sudeste,SP,Leme,"0,8126","0,8598","0,7191","0,8590"
Sudeste,SP,Mogi Mirim,"0,8124","0,7882","0,7073","0,9418"
Sul,SC,Joinville,"0,8124","0,6725","0,7879","0,9768"
Sul,RS,Feliz,"0,8124","0,7639","0,7331","0,9403"
Sul,SC,Timbó,"0,8122","0,7313","0,7218","0,9834"
Sul,RS,Igrejinha,"0,8120","0,6985","0,7718","0,9657"
Sul,SC,Indaial,"0,8117","0,7039","0,7389","0,9922"
Sul,RS,Salvador do Sul,"0,8114","0,7090","0,7362","0,9890"
Sul,PR,Campo Largo,"0,8110","0,7533","0,7843","0,8955"
Sudeste,MG,Formiga,"0,8109","0,7665","0,7348","0,9313"
Sudeste,SP,Birigui,"0,8108","0,8669","0,7107","0,8547"
Sul,SC,São Lourenço do Oeste,"0,8108","0,6854","0,7648","0,9821"
Sudeste,SP,Águas de Lindóia,"0,8106","0,7746","0,7399","0,9172"
Sul,RS,São Vendelino,"0,8102","0,7642","0,7430","0,9234"
Sudeste,SP,Espírito Santo do Pinhal,"0,8101","0,7880","0,7167","0,9255"
Centro-Oeste,MS,Campo Grande,"0,8101","0,7248","0,7501","0,9555"
Sudeste,SP,Santana de Parnaíba,"0,8100","0,8240","0,6722","0,9337"
Sul,SC,Benedito Novo,"0,8096","0,6579","0,8306","0,9402"
Sul,RS,Ibirubá,"0,8096","0,7475","0,7481","0,9333"
Sudeste,MG,Divinópolis,"0,8095","0,7162","0,8129","0,8993"
Sudeste,SP,Caraguatatuba,"0,8095","0,8024","0,7831","0,8429"
Sudeste,SP,Mococa,"0,8091","0,7782","0,7547","0,8943"
Sul,SC,São João do Oeste,"0,8091","0,7621","0,7570","0,9082"
Sudeste,SP,Pompéia,"0,8087","0,8453","0,7221","0,8587"
Sul,RS,Mato Leitão,"0,8087","0,7777","0,7678","0,8807"
Sul,SC,Nova Trento,"0,8086","0,7324","0,7132","0,9803"
Sul,SC,Nova Veneza,"0,8084","0,7224","0,7428","0,9601"
Sudeste,MG,Patos de Minas,"0,8077","0,7189","0,7440","0,9603"
Sudeste,SP,Batatais,"0,8077","0,7955","0,6803","0,9472"
Sul,RS,Caxias do Sul,"0,8077","0,6331","0,8099","0,9802"
Sul,RS,Teutônia,"0,8075","0,7250","0,7230","0,9744"
Sul,SC,Rio Negrinho,"0,8073","0,7183","0,7403","0,9632"
Sul,SC,Mafra,"0,8072","0,7162","0,8079","0,8975"
Sudeste,SP,Gavião Peixoto,"0,8067","0,8876","0,7004","0,8320"
Sudeste,MG,Belo Horizonte,"0,8063","0,7684","0,7331","0,9175"
Sudeste,SP,Barra Bonita,"0,8063","0,8396","0,6865","0,8928"
Sudeste,SP,Ipeúna,"0,8059","0,8427","0,7639","0,8111"
Sudeste,SP,Porto Feliz,"0,8056","0,7838","0,6772","0,9558"
Sul,SC,Cordilheira Alta,"0,8056","0,8199","0,6385","0,9584"
Sudeste,MG,Extrema,"0,8054","0,7461","0,7716","0,8985"
Sudeste,SP,Jaci,"0,8053","0,7482","0,8055","0,8623"
Sudeste,SP,Lucianópolis,"0,8053","0,8283","0,7278","0,8598"
Centro-Oeste,MT,Primavera do Leste,"0,8050","0,7397","0,7444","0,9308"
Sudeste,MG,Varginha,"0,8049","0,7192","0,7404","0,9551"
Sudeste,MG,Itanhandu,"0,8048","0,7812","0,7738","0,8594"
Sudeste,SP,Mirassol,"0,8044","0,8173","0,6914","0,9044"
Sudeste,SP,Franca,"0,8039","0,8239","0,7029","0,8850"
Sudeste,SP,Arujá,"0,8038","0,7712","0,7901","0,8500"
Sudeste,SP,Ourinhos,"0,8037","0,7472","0,7536","0,9103"
Sul,PR,Ubiratã,"0,8034","0,8427","0,6476","0,9198"
Sudeste,SP,Boituva,"0,8033","0,7963","0,6475","0,9662"
Sul,RS,Bom Retiro do Sul,"0,8033","0,6998","0,8225","0,8875"
Sul,SC,Maravilha,"0,8032","0,6920","0,7571","0,9606"
Centro-Oeste,GO,Jataí,"0,8031","0,7785","0,7267","0,9041"
Sudeste,SP,Capivari,"0,8029","0,7520","0,7327","0,9240"
Sudeste,SP,Buritizal,"0,8024","0,7065","0,8399","0,8608"
Sudeste,SP,Cabreúva,"0,8024","0,7501","0,7696","0,8875"
Sul,PR,Nova Aurora,"0,8024","0,7710","0,7319","0,9042"
Sul,PR,Assis Chateaubriand,"0,8022","0,8379","0,6970","0,8718"
Sul,PR,Cambé,"0,8022","0,7385","0,7714","0,8966"
Sudeste,SP,Fernando Prestes,"0,8020","0,8440","0,6441","0,9179"
Sudeste,SP,Ilhabela,"0,8019","0,8159","0,7668","0,8230"
Sudeste,ES,Iconha,"0,8018","0,8749","0,7408","0,7896"
Sul,SC,Tangará,"0,8018","0,7109","0,7660","0,9286"
Sudeste,SP,Diadema,"0,8015","0,8126","0,7485","0,8433"
Sul,PR,Matelândia,"0,8015","0,7604","0,6963","0,9477"
Sudeste,MG,Confins,"0,8006","0,7936","0,6641","0,9440"
Sul,PR,Porto Amazonas,"0,8006","0,7710","0,7168","0,9139"
Sudeste,SP,Sales Oliveira,"0,8005","0,8003","0,7383","0,8630"
Sul,RS,Fagundes Varela,"0,8004","0,7566","0,8685","0,7761"
Sudeste,MG,Andradas,"0,8003","0,7005","0,8109","0,8896"
Sudeste,SP,São Joaquim da Barra,"0,8002","0,8117","0,7260","0,8629"
Nordeste,CE,Sobral,"0,8001","0,8887","0,7930","0,7185"
Sul,PR,Entre Rios do Oeste,"0,8001","0,8307","0,6403","0,9294"
Sudeste,SP,Colômbia,"0,7997","0,8100","0,6406","0,9484"
Sul,SC,Tubarão,"0,7996","0,7109","0,7128","0,9750"
Sudeste,MG,Congonhas,"0,7995","0,7256","0,7710","0,9018"
Sudeste,SP,Cândido Rodrigues,"0,7995","0,7874","0,7516","0,8594"
Centro-Oeste,MS,Bataguassu,"0,7995","0,7126","0,7880","0,8979"
Sudeste,SP,Itupeva,"0,7993","0,7096","0,7396","0,9487"
Sul,SC,Canoinhas,"0,7992","0,7473","0,7766","0,8738"
Sul,SC,Apiúna,"0,7991","0,6773","0,7642","0,9558"
Sudeste,ES,Aracruz,"0,7990","0,7758","0,6842","0,9371"
Sul,PR,Ibiporã,"0,7988","0,8025","0,6539","0,9401"
Sul,RS,Harmonia,"0,7987","0,7224","0,7393","0,9344"
Sudeste,MG,Campo Belo,"0,7983","0,7665","0,8071","0,8214"
Sudeste,MG,Guaxupé,"0,7980","0,7219","0,7343","0,9378"
Sul,RS,Nova Araçá,"0,7978","0,7931","0,6573","0,9429"
Sudeste,SP,Mogi Guaçu,"0,7972","0,7472","0,6762","0,9681"
Sudeste,ES,Colatina,"0,7971","0,7420","0,7351","0,9143"
Sudeste,SP,Piraju,"0,7971","0,8444","0,6947","0,8523"
Sudeste,SP,Borá,"0,7965","0,8072","0,7348","0,8475"
Sul,PR,Nova Santa Rosa,"0,7964","0,8083","0,6896","0,8913"
Sudeste,SP,Suzanápolis,"0,7962","0,8513","0,6783","0,8589"
Sul,RS,Esteio,"0,7960","0,6834","0,8103","0,8943"
Sul,RS,Westfália,"0,7960","0,6999","0,7430","0,9450"
Sul,RS,Portão,"0,7958","0,6404","0,7952","0,9518"
Centro-Oeste,GO,Chapadão do Céu,"0,7958","0,7818","0,7542","0,8514"
Centro-Oeste,MS,Três Lagoas,"0,7955","0,7309","0,7324","0,9231"
Centro-Oeste,GO,Quirinópolis,"0,7954","0,7688","0,6850","0,9323"
Sul,SC,Itajaí,"0,7952","0,7267","0,7527","0,9061"
Sudeste,SP,Marapoama,"0,7950","0,8829","0,6328","0,8692"
Sudeste,SP,Jacareí,"0,7949","0,8084","0,7399","0,8365"
Sul,PR,Iguaraçu,"0,7949","0,7112","0,8303","0,8431"
Sul,RS,Estância Velha,"0,7948","0,7648","0,7361","0,8834"
Sudeste,SP,Guarani d'Oeste,"0,7947","0,8541","0,7840","0,7459"
Sul,RS,Alto Feliz,"0,7944","0,7094","0,8579","0,8159"
Sudeste,ES,Linhares,"0,7943","0,7231","0,7002","0,9596"
Sudeste,SP,Américo Brasiliense,"0,7943","0,7585","0,7361","0,8883"
Sul,RS,Bom Princípio,"0,7940","0,6578","0,7774","0,9468"
Sudeste,SP,Corumbataí,"0,7937","0,7720","0,7253","0,8839"
Centro-Oeste,GO,Itumbiara,"0,7935","0,8001","0,6254","0,9550"
Sudeste,RJ,Rio de Janeiro,"0,7933","0,7140","0,7707","0,8952"
Sudeste,SP,Brotas,"0,7933","0,7907","0,6432","0,9460"
Sul,RS,Nova Bassano,"0,7933","0,6583","0,7584","0,9631"
Centro-Oeste,MS,Nova Andradina,"0,7932","0,7729","0,6975","0,9093"
Sudeste,SP,Cordeirópolis,"0,7931","0,7630","0,7424","0,8739"
Sudeste,SP,Louveira,"0,7925","0,7962","0,7437","0,8377"
Sudeste,SP,Maracaí,"0,7925","0,8715","0,7250","0,7811"
Sul,PR,Bom Sucesso do Sul,"0,7923","0,7779","0,7278","0,8712"
Centro-Oeste,MT,Cuiabá,"0,7922","0,7214","0,7097","0,9456"
Sudeste,SP,Saltinho,"0,7921","0,8365","0,6503","0,8894"
Sul,SC,Fraiburgo,"0,7921","0,7255","0,7013","0,9496"
Sul,SC,Guaraciaba,"0,7921","0,7896","0,7308","0,8558"
Sul,SC,Penha,"0,7921","0,7339","0,7103","0,9322"
Sudeste,SP,Paulínia,"0,7919","0,7897","0,7173","0,8688"
Sul,PR,Santa Helena,"0,7919","0,7664","0,7493","0,8601"
Sul,SC,Santo Amaro da Imperatriz,"0,7919","0,6989","0,7694","0,9074"
Sudeste,MG,Araxá,"0,7918","0,7130","0,6701","0,9922"
Sudeste,SP,Jaú,"0,7918","0,7771","0,6941","0,9042"
Sul,PR,Paraíso do Norte,"0,7915","0,8507","0,6059","0,9180"
Sul,PR,Realeza,"0,7914","0,8453","0,6784","0,8505"
Sul,SC,Antônio Carlos,"0,7914","0,7142","0,8009","0,8592"
Sul,PR,Foz do Iguaçu,"0,7911","0,7783","0,7077","0,8873"
Sul,RS,Guaporé,"0,7909","0,7504","0,6597","0,9625"
Sudeste,SP,Mirante do Paranapanema,"0,7908","0,7842","0,8160","0,7723"
Sul,SC,Guaramirim,"0,7902","0,6663","0,7189","0,9854"
Sul,SC,Turvo,"0,7902","0,7168","0,6808","0,9729"
Sudeste,SP,Estrela d'Oeste,"0,7900","0,8249","0,6221","0,9231"
Centro-Oeste,MT,Sinop,"0,7900","0,6434","0,7724","0,9542"
Sudeste,SP,Tambaú,"0,7899","0,7517","0,7377","0,8802"
Sul,PR,Ivaiporã,"0,7898","0,8210","0,7664","0,7820"
Sul,SC,Pinhalzinho,"0,7896","0,7099","0,6995","0,9594"
Sul,RS,Cerro Largo,"0,7896","0,7341","0,8038","0,8309"
Sul,SC,Presidente Getúlio,"0,7893","0,6986","0,7162","0,9531"
Sul,SC,Itapiranga,"0,7891","0,7683","0,6434","0,9556"
Norte,TO,Palmas,"0,7889","0,7642","0,7607","0,8419"
Sudeste,SP,Aparecida,"0,7889","0,7926","0,6785","0,8957"
Sul,RS,Flores da Cunha,"0,7888","0,6836","0,7261","0,9568"
Sul,RS,Santa Maria do Herval,"0,7886","0,7818","0,7003","0,8838"
Sudeste,MG,Patrocínio,"0,7883","0,7521","0,7046","0,9083"
Sul,SC,Armazém,"0,7882","0,7133","0,7298","0,9216"
Sul,SC,São José,"0,7882","0,6501","0,7186","0,9958"
Sul,RS,Serafina Corrêa,"0,7882","0,7024","0,6923","0,9698"
Sudeste,SP,Artur Nogueira,"0,7881","0,7698","0,7568","0,8376"
Sudeste,SP,Bom Jesus dos Perdões,"0,7881","0,7855","0,6988","0,8801"
Sudeste,SP,Reginópolis,"0,7881","0,8165","0,6609","0,8869"
Sul,SC,Iporã do Oeste,"0,7881","0,7696","0,7636","0,8312"
Sudeste,MG,Arapuá,"0,7880","0,8146","0,7676","0,7819"
Sul,PR,Sengés,"0,7879","0,7329","0,7375","0,8934"
Sul,PR,Nova Londrina,"0,7878","0,8151","0,6181","0,9302"
Sul,SC,Agrolândia,"0,7878","0,6901","0,7562","0,9171"
Sudeste,SP,Bariri,"0,7875","0,8104","0,6595","0,8926"
Sudeste,SP,Quintana,"0,7874","0,7805","0,7215","0,8603"
Sudeste,MG,Muriaé,"0,7872","0,7948","0,7840","0,7828"
Sul,PR,Imbituva,"0,7872","0,7168","0,7391","0,9057"
Sudeste,SP,Nova Castilho,"0,7870","0,8318","0,6963","0,8329"
Sul,RS,Estação,"0,7870","0,7134","0,7354","0,9121"
Sul,SC,Xanxerê,"0,7869","0,6412","0,7512","0,9684"
Centro-Oeste,GO,Goiânia,"0,7865","0,7431","0,6727","0,9438"
Sudeste,SP,Santa Rita do Passa Quatro,"0,7861","0,7951","0,6287","0,9345"
Sul,SC,Botuverá,"0,7861","0,6387","0,7579","0,9617"
Sudeste,MG,Cláudio,"0,7858","0,7329","0,6973","0,9271"
Sudeste,SP,Gália,"0,7853","0,8025","0,7688","0,7845"
Sudeste,MG,Serra do Salitre,"0,7852","0,7406","0,7060","0,9090"
Sudeste,SP,Planalto,"0,7850","0,7539","0,6842","0,9168"
Sudeste,SP,Palestina,"0,7849","0,7600","0,7181","0,8766"
Sul,SC,Salete,"0,7849","0,6702","0,7475","0,9371"
Sudeste,SP,Osasco,"0,7848","0,7883","0,6775","0,8887"
Sul,SC,Nova Erechim,"0,7848","0,6711","0,7933","0,8899"
Sudeste,SP,Taboão da Serra,"0,7845","0,7346","0,6933","0,9255"
Sudeste,SP,Bilac,"0,7843","0,8435","0,7682","0,7413"
Sul,RS,Frederico Westphalen,"0,7843","0,7819","0,6220","0,9490"
Sul,PR,Salgado Filho,"0,7842","0,8354","0,7695","0,7476"
Sul,SC,Porto União,"0,7841","0,6764","0,8182","0,8577"
Sudeste,SP,Espírito Santo do Turvo,"0,7836","0,8590","0,7313","0,7604"
Sudeste,SP,Hortolândia,"0,7835","0,8046","0,6968","0,8491"
Sul,PR,Irati,"0,7835","0,7611","0,7431","0,8462"
Sudeste,SP,Sebastianópolis do Sul,"0,7833","0,8507","0,6871","0,8121"
Sudeste,SP,Sumaré,"0,7833","0,7684","0,6626","0,9189"
