Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda
Sudeste,SP,Jandira,"0,6905","0,8093","0,5108","0,7514"
Sul,SC,Rio do Campo,"0,6905","0,6670","0,6153","0,7893"
Centro-Oeste,GO,Palmeiras de Goiás,"0,6905","0,5868","0,6198","0,8650"
Sudeste,MG,Guarani,"0,6904","0,6718","0,7053","0,6940"
Sul,SC,Abelardo Luz,"0,6904","0,5784","0,5589","0,9339"
Sudeste,MG,Cambuquira,"0,6903","0,7521","0,7095","0,6093"
Sudeste,MG,Santa Bárbara,"0,6903","0,6038","0,6501","0,8169"
Sul,RS,São José dos Ausentes,"0,6903","0,5036","0,6720","0,8953"
Sul,RS,Tio Hugo,"0,6903","0,6875","0,6192","0,7641"
Sudeste,MG,Cruzília,"0,6902","0,7042","0,6563","0,7102"
Sul,RS,Taquaruçu do Sul,"0,6902","0,6531","0,7015","0,7161"
Sudeste,ES,Itaguaçu,"0,6901","0,8159","0,6621","0,5923"
Sul,RS,São Valentim,"0,6898","0,7109","0,7441","0,6144"
Sudeste,SP,Valentim Gentil,"0,6897","0,7483","0,5388","0,7821"
Sul,PR,Indianópolis,"0,6897","0,7762","0,4605","0,8323"
Sul,SC,Urubici,"0,6897","0,6274","0,6642","0,7776"
Sudeste,SP,Narandiba,"0,6896","0,7766","0,5099","0,7822"
Centro-Oeste,MS,Vicentina,"0,6896","0,6800","0,6451","0,7437"
Sudeste,SP,Santa Lúcia,"0,6893","0,8043","0,6435","0,6202"
Sudeste,SP,Palmeira d'Oeste,"0,6892","0,8028","0,6446","0,6201"
Sudeste,SP,Santo Anastácio,"0,6892","0,7935","0,4819","0,7923"
Sudeste,MG,Carmo da Mata,"0,6891","0,6798","0,6338","0,7536"
Sul,PR,Flor da Serra do Sul,"0,6891","0,7358","0,5739","0,7575"
Sul,PR,Planalto,"0,6891","0,7633","0,5693","0,7348"
Sudeste,SP,Pontalinda,"0,6890","0,7896","0,6740","0,6033"
Sul,PR,Ourizona,"0,6889","0,7855","0,6724","0,6089"
Sudeste,MG,Poço Fundo,"0,6888","0,7481","0,6961","0,6221"
Sul,PR,Quedas do Iguaçu,"0,6887","0,7479","0,5727","0,7455"
Sudeste,MG,Itamogi,"0,6886","0,6778","0,7682","0,6198"
Sudeste,SP,Aramina,"0,6886","0,6940","0,7276","0,6443"
Sudeste,SP,Santa Salete,"0,6886","0,8128","0,6936","0,5595"
Sudeste,MG,Rio Piracicaba,"0,6885","0,7640","0,6348","0,6666"
Sudeste,ES,Baixo Guandu,"0,6885","0,7271","0,6534","0,6851"
Sul,RS,Agudo,"0,6885","0,6395","0,6927","0,7334"
Sul,PR,Campo Magro,"0,6883","0,6703","0,7004","0,6941"
Centro-Oeste,GO,Água Fria de Goiás,"0,6883","0,6018","0,7284","0,7346"
Sudeste,MG,Pirapora,"0,6882","0,6523","0,6044","0,8079"
Sul,PR,Borrazópolis,"0,6881","0,7831","0,6619","0,6194"
Sudeste,MG,Fronteira,"0,6880","0,7167","0,6333","0,7139"
Sudeste,RJ,Barra Mansa,"0,6880","0,5918","0,7674","0,7049"
Centro-Oeste,GO,Inaciolândia,"0,6880","0,7480","0,6948","0,6213"
Sul,RS,Santa Bárbara do Sul,"0,6879","0,6878","0,6639","0,7120"
Sul,RS,Putinga,"0,6878","0,7278","0,6707","0,6648"
Norte,TO,Divinópolis do Tocantins,"0,6877","0,7326","0,6628","0,6677"
Sudeste,SP,Murutinga do Sul,"0,6877","0,8932","0,6514","0,5185"
Sul,RS,Bom Jesus,"0,6876","0,5599","0,6456","0,8572"
Centro-Oeste,MT,Nova Guarita,"0,6875","0,6856","0,7080","0,6689"
Sul,SC,Papanduva,"0,6872","0,6004","0,6221","0,8391"
Centro-Oeste,GO,Água Limpa,"0,6872","0,8205","0,6073","0,6338"
Sul,SC,São Bernardino,"0,6871","0,6951","0,6466","0,7195"
Nordeste,CE,Horizonte,"0,6870","0,7021","0,6406","0,7184"
Sudeste,SP,Embu-Guaçu,"0,6870","0,8075","0,6428","0,6107"
Sul,RS,Boa Vista do Cadeado,"0,6869","0,6321","0,7922","0,6363"
Nordeste,PI,Sebastião Leal,"0,6868","0,6235","0,6105","0,8263"
Sudeste,MG,São Pedro da União,"0,6868","0,8355","0,6518","0,5730"
Nordeste,BA,Luís Eduardo Magalhães,"0,6865","0,5088","0,6616","0,8891"
Centro-Oeste,MS,Itaporã,"0,6864","0,6349","0,7204","0,7040"
Centro-Oeste,MT,Nova Ubiratã,"0,6863","0,5140","0,6914","0,8534"
Sudeste,MG,Santa Rita de Caldas,"0,6862","0,6972","0,7170","0,6444"
Sul,RS,Coronel Barros,"0,6862","0,7103","0,7213","0,6271"
Sul,PR,Manfrinópolis,"0,6861","0,6667","0,6575","0,7340"
Sul,SC,Belmonte,"0,6861","0,7004","0,6478","0,7101"
Sudeste,ES,Pinheiros,"0,6860","0,6800","0,6040","0,7740"
Sudeste,MG,Leopoldina,"0,6859","0,6969","0,6750","0,6857"
Sul,PR,Ângulo,"0,6859","0,7717","0,5381","0,7480"
Sudeste,MG,Ipuiúna,"0,6858","0,6514","0,7615","0,6445"
Sul,SC,São Pedro de Alcântara,"0,6858","0,7429","0,7334","0,5810"
Centro-Oeste,MT,Tesouro,"0,6858","0,6035","0,7371","0,7167"
Sul,PR,Cafeara,"0,6857","0,7878","0,7141","0,5553"
Sudeste,MG,Iraí de Minas,"0,6856","0,7163","0,5836","0,7570"
Sudeste,MG,Taiobeiras,"0,6855","0,7579","0,6825","0,6160"
Sul,RS,Cachoeira do Sul,"0,6855","0,5950","0,7444","0,7170"
