Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda,codigo_ibge
Sul,PR,Foz do Jordão,"0,6797","0,6608","0,7189","0,6593",4108452
Sudeste,RJ,Pinheiral,"0,6796","0,6604","0,7098","0,6686",3303955
Nordeste,CE,Quixeré,"0,6795","0,7784","0,6668","0,5932",2311504
Sul,PR,Lunardelli,"0,6795","0,8596","0,6215","0,5575",4113759
Centro-Oeste,GO,Santa Bárbara de Goiás,"0,6795","0,7217","0,6265","0,6902",5219100
Centro-Oeste,MS,Paranaíba,"0,6794","0,6630","0,4908","0,8844",5006309
Centro-Oeste,GO,Caiapônia,"0,6794","0,6664","0,6137","0,7581",5204409
Nordeste,AL,Campo Alegre,"0,6792","0,8070","0,6498","0,5807",2701407
Sudeste,SP,Lagoinha,"0,6792","0,6811","0,7407","0,6157",3526308
Nordeste,CE,Barbalha,"0,6791","0,6723","0,7849","0,5801",2301901
Sul,PR,Honório Serpa,"0,6791","0,7119","0,6112","0,7141",4109658
Sul,PR,Mamborê,"0,6791","0,6998","0,6948","0,6428",4114005
Sul,RS,Ametista do Sul,"0,6789","0,6925","0,6282","0,7160",4300646
Sul,RS,São Vicente do Sul,"0,6789","0,6983","0,7147","0,6238",4319802
Norte,TO,Pedro Afonso,"0,6788","0,7221","0,5855","0,7288",1716505
Sudeste,MG,Cabo Verde,"0,6788","0,7364","0,5940","0,7061",3109501
Sul,RS,Morro Redondo,"0,6788","0,6149","0,7488","0,6727",4312450
Sudeste,MG,Barroso,"0,6787","0,6860","0,7234","0,6267",3105905
Sudeste,SP,Dois Córregos,"0,6787","0,7407","0,4938","0,8017",3514106
Sul,PR,Paiçandu,"0,6787","0,7118","0,6057","0,7186",4117503
Sul,SC,Lindóia do Sul,"0,6786","0,7330","0,6030","0,6998",4209854
Sudeste,MG,Papagaios,"0,6785","0,5820","0,6572","0,7962",3146909
Sul,PR,Cruz Machado,"0,6783","0,7254","0,7325","0,5771",4106803
Sudeste,MG,Teófilo Otoni,"0,6782","0,6417","0,6730","0,7200",3168606
Sudeste,MG,Sapucaí-Mirim,"0,6781","0,6646","0,5939","0,7759",3165404
Sudeste,SP,Estrela do Norte,"0,6780","0,7797","0,7409","0,5135",3515301
Sul,PR,Centenário do Sul,"0,6780","0,8237","0,6259","0,5843",4105102
Centro-Oeste,MT,Barra do Garças,"0,6779","0,5957","0,5647","0,8733",5101803
Nordeste,MA,Imperatriz,"0,6778","0,6415","0,6297","0,7623",2105302
Sul,SC,Água Doce,"0,6778","0,6108","0,5130","0,9095",4200408
Sul,SC,Novo Horizonte,"0,6778","0,6229","0,6449","0,7656",4211652
Nordeste,AL,São Miguel dos Campos,"0,6777","0,7338","0,5887","0,7105",2708600
Sul,RS,Ciríaco,"0,6777","0,5711","0,7418","0,7201",4305504
Sul,RS,Erval Grande,"0,6777","0,6228","0,7606","0,6496",4307203
Sudeste,SP,Monte Alegre do Sul,"0,6775","0,6070","0,7156","0,7098",3531209
Sudeste,SP,Santa Ernestina,"0,6774","0,8003","0,6396","0,5923",3546504
Sudeste,MG,Desterro de Entre Rios,"0,6773","0,6162","0,7905","0,6251",3121407
Sudeste,SP,Guaraçaí,"0,6773","0,6690","0,7212","0,6416",3517802
