Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda,codigo_ibge
Sul,RS,Porto Vera Cruz,"0,6191","0,6596","0,6780","0,5197",4315073
Sudeste,SP,Vargem,"0,6190","0,5831","0,6169","0,6570",3556354
Sul,RS,Lavras do Sul,"0,6189","0,5403","0,6628","0,6536",4311502
Centro-Oeste,GO,Ipiranga de Goiás,"0,6188","0,6289","0,6662","0,5613",5210158
Norte,TO,Bandeirantes do Tocantins,"0,6186","0,6401","0,4681","0,7476",1703057
Sudeste,MG,Guimarânia,"0,6186","0,6230","0,6226","0,6103",3128907
Sul,RS,Planalto,"0,6185","0,6190","0,5233","0,7133",4314704
Sudeste,RJ,Santo Antônio de Pádua,"0,6184","0,7265","0,4346","0,6942",3304706
Sudeste,MG,Soledade de Minas,"0,6183","0,7052","0,5354","0,6143",3167806
Centro-Oeste,MS,Aral Moreira,"0,6183","0,5157","0,5771","0,7620",5001243
Norte,RO,Itapuã do Oeste,"0,6182","0,4340","0,6837","0,7368",1101104
Nordeste,PB,Juripiranga,"0,6182","0,7396","0,7138","0,4012",2507903
Centro-Oeste,GO,São João d'Aliança,"0,6182","0,6284","0,6121","0,6142",5220009
Sul,SC,Saltinho,"0,6181","0,5748","0,5822","0,6972",4215356
Nordeste,PB,Pombal,"0,6180","0,7755","0,5936","0,4849",2512101
Sudeste,MG,São José do Divino,"0,6179","0,7332","0,6810","0,4395",3163300
Sul,RS,Arroio do Tigre,"0,6178","0,6488","0,4802","0,7245",4301206
Centro-Oeste,MS,Corguinho,"0,6178","0,4380","0,6558","0,7597",5003108
Nordeste,PI,Bom Jesus,"0,6177","0,6636","0,5637","0,6259",2201903
Norte,TO,Natividade,"0,6176","0,6545","0,6253","0,5730",1714203
Nordeste,PE,Salgueiro,"0,6176","0,6489","0,6756","0,5282",2612208
Sudeste,MG,Mamonas,"0,6176","0,7960","0,7280","0,3288",3139250
Nordeste,BA,Malhada de Pedras,"0,6175","0,5416","0,7332","0,5778",2920304
Sudeste,MG,Bela Vista de Minas,"0,6175","0,6044","0,6110","0,6372",3106002
Nordeste,PB,Parari,"0,6174","0,7088","0,7072","0,4363",2510659
Centro-Oeste,GO,Abadia de Goiás,"0,6173","0,5479","0,6506","0,6534",5200050
Sudeste,SP,São Vicente,"0,6172","0,7004","0,4998","0,6514",3551009
Sul,SC,Ouro Verde,"0,6172","0,6409","0,5252","0,6856",4211850
Centro-Oeste,GO,Luziânia,"0,6172","0,6143","0,5847","0,6525",5212501
Sul,PR,Palmital,"0,6171","0,6697","0,5882","0,5935",4117800
Nordeste,CE,Jaguaruana,"0,6170","0,7839","0,6373","0,4299",2307007
Nordeste,CE,Uruoca,"0,6170","0,7854","0,6138","0,4518",2313906
Nordeste,BA,Catu,"0,6170","0,5510","0,6494","0,6507",2907509
Sudeste,SP,Ribeirão Grande,"0,6168","0,6947","0,6997","0,4561",3543253
Sul,PR,Tijucas do Sul,"0,6168","0,6247","0,6000","0,6256",4127601
Nordeste,PI,Campo Maior,"0,6167","0,7151","0,6558","0,4791",2202208
Centro-Oeste,MS,Ponta Porã,"0,6167","0,5866","0,5195","0,7441",5006606
Nordeste,PE,Rio Formoso,"0,6165","0,6810","0,4976","0,6710",2611903
Sudeste,MG,Brás Pires,"0,6165","0,7879","0,6749","0,3867",3108701
Sul,PR,Santa Lúcia,"0,6165","0,6388","0,5503","0,6605",4123824
Centro-Oeste,GO,Santa Rita do Araguaia,"0,6163","0,6411","0,5530","0,6549",5219407
Norte,PA,Barcarena,"0,6162","0,5082","0,5660","0,7743",1501303
Sul,RS,Paraíso do Sul,"0,6162","0,5685","0,6164","0,6637",4314027
Centro-Oeste,GO,Nova Aurora,"0,6162","0,6461","0,7266","0,4760",5214804
Norte,PA,Xinguara,"0,6161","0,5336","0,5211","0,7937",1508407
Sudeste,MG,Alterosa,"0,6160","0,6878","0,6099","0,5504",3102001
Sudeste,MG,Serranos,"0,6160","0,6871","0,6249","0,5361",3167004
Sudeste,MG,Santana do Riacho,"0,6159","0,5287","0,6726","0,6464",3159001
Sudeste,SP,Emilianópolis,"0,6159","0,7708","0,5783","0,4985",3515129
Centro-Oeste,MT,Conquista D'Oeste,"0,6159","0,6030","0,4995","0,7451",5103361
Sudeste,MG,Maria da Fé,"0,6157","0,7301","0,5644","0,5526",3139904
Sudeste,SP,Indiana,"0,6157","0,6604","0,5168","0,6700",3520608
Sudeste,MG,Jequeri,"0,6156","0,6500","0,6816","0,5153",3135506
Sudeste,SP,Piquete,"0,6156","0,7359","0,5452","0,5657",3538501
Nordeste,CE,Iracema,"0,6155","0,8369","0,6732","0,3364",2306009
Nordeste,CE,Reriutaba,"0,6155","0,8021","0,7187","0,3258",2311702
Sudeste,MG,Ferros,"0,6155","0,7309","0,6684","0,4472",3125903
Sudeste,SP,Guzolândia,"0,6155","0,7880","0,4766","0,5819",3518909
Sul,PR,Pinhão,"0,6154","0,6651","0,4789","0,7022",4119301
Centro-Oeste,GO,Britânia,"0,6153","0,6871","0,4587","0,7001",5203807
Nordeste,PB,Bom Jesus,"0,6152","0,6142","0,6796","0,5519",2502201
Sul,RS,Braga,"0,6150","0,6286","0,7055","0,5108",4302600
Sudeste,MG,Japonvar,"0,6148","0,7989","0,7226","0,3228",3135357
Sul,SC,Bom Retiro,"0,6147","0,5946","0,4082","0,8412",4202602
Nordeste,CE,Palhano,"0,6146","0,7933","0,6131","0,4375",2310001
Nordeste,PB,Ouro Velho,"0,6146","0,6701","0,7972","0,3766",2510600
Sul,SC,Ipuaçu,"0,6146","0,4166","0,5773","0,8499",4207684
Sul,SC,Major Vieira,"0,6146","0,5637","0,5812","0,6990",4210308
Sudeste,MG,Toledo,"0,6145","0,6353","0,5788","0,6293",3169109
Sudeste,ES,Iúna,"0,6145","0,7020","0,5341","0,6073",3203007
Sul,RS,Senador Salgado Filho,"0,6145","0,5904","0,6559","0,5971",4320321
Norte,TO,Dianópolis,"0,6144","0,6472","0,5655","0,6304",1707009
Nordeste,SE,Propriá,"0,6144","0,6000","0,6930","0,5501",2805703
Sudeste,SP,Taciba,"0,6144","0,7630","0,5098","0,5703",3552908
Nordeste,CE,Deputado Irapuan Pinheiro,"0,6143","0,8461","0,6719","0,3250",2304269
Sudeste,MG,Conceição do Rio Verde,"0,6143","0,5623","0,6200","0,6607",3117702
Centro-Oeste,GO,Nova Iguaçu de Goiás,"0,6143","0,7494","0,6328","0,4608",5214879
Sul,PR,Quinta do Sol,"0,6141","0,7163","0,5168","0,6093",4121109
Sul,PR,Santa Mônica,"0,6141","0,6952","0,5044","0,6428",4123956
Sul,RS,Unistalda,"0,6140","0,6190","0,6748","0,5483",4322376
Nordeste,CE,Baturité,"0,6138","0,7208","0,6635","0,4570",2302107
Sudeste,MG,São Francisco de Paula,"0,6138","0,7014","0,5160","0,6240",3161205
Sul,RS,Capela de Santana,"0,6137","0,4649","0,7191","0,6571",4304689
Sudeste,MG,Camacho,"0,6136","0,6819","0,7467","0,4121",3110400
Nordeste,MA,Açailândia,"0,6135","0,6178","0,5559","0,6667",2100055
Sudeste,MG,Ponto Chique,"0,6134","0,7059","0,7121","0,4222",3152131
Nordeste,CE,Guaraciaba do Norte,"0,6132","0,7828","0,6836","0,3731",2305001
Nordeste,CE,Ubajara,"0,6132","0,8218","0,5793","0,4385",2313609
Sudeste,ES,Pancas,"0,6132","0,6915","0,6372","0,5108",3204005
Nordeste,CE,Granjeiro,"0,6129","0,8112","0,7099","0,3177",2304806
Sudeste,MG,Planura,"0,6129","0,4324","0,6821","0,7241",3151602
Norte,TO,Aparecida do Rio Negro,"0,6127","0,6844","0,5904","0,5633",1701101
Sudeste,RJ,Mendes,"0,6127","0,6971","0,5977","0,5434",3302809
Norte,TO,Augustinópolis,"0,6126","0,6102","0,7524","0,4751",1702554
Sudeste,MG,Buritis,"0,6125","0,5923","0,5392","0,7060",3109303
Sudeste,MG,Goiabeira,"0,6125","0,7585","0,5569","0,5222",3127370
Sudeste,RJ,Iguaba Grande,"0,6125","0,6791","0,6664","0,4921",3301876
Sul,RS,São Pedro do Sul,"0,6125","0,6322","0,6084","0,5969",4319406
Nordeste,AL,Palestina,"0,6124","0,7482","0,7063","0,3826",2706208
Sudeste,MG,Lagamar,"0,6123","0,6779","0,5431","0,6159",3137106
Sul,SC,Balneário Gaivota,"0,6123","0,5701","0,6263","0,6404",4202073
Nordeste,PE,Igarassu,"0,6122","0,5918","0,5649","0,6798",2606804
Centro-Oeste,GO,Pilar de Goiás,"0,6122","0,4415","0,6047","0,7904",5216908
Nordeste,AL,São Miguel dos Milagres,"0,6121","0,6309","0,5070","0,6983",2708709
Sul,SC,Balneário Barra do Sul,"0,6121","0,5357","0,6613","0,6394",4202057
Sudeste,MG,Santa Fé de Minas,"0,6119","0,5823","0,6908","0,5625",3157609
Centro-Oeste,GO,Valparaíso de Goiás,"0,6119","0,5960","0,6118","0,6280",5221858
Sudeste,MG,Passabém,"0,6117","0,6659","0,6485","0,5206",3147501
Sudeste,MG,Vespasiano,"0,6117","0,5729","0,5582","0,7041",3171204
Centro-Oeste,MT,Indiavaí,"0,6117","0,5672","0,6332","0,6347",5104500
Sul,RS,Rolador,"0,6116","0,5349","0,7405","0,5593",4315958
Norte,TO,Couto Magalhães,"0,6114","0,6705","0,6393","0,5244",1706001
Nordeste,CE,Paracuru,"0,6113","0,7507","0,6164","0,4669",2310209
Sudeste,MG,Aricanduva,"0,6112","0,7599","0,7333","0,3403",3104452
Sudeste,MG,Vargem Bonita,"0,6112","0,7138","0,4516","0,6683",3170602
Sudeste,MG,Santo Antônio do Grama,"0,6111","0,6267","0,7256","0,4810",3160108
Nordeste,RN,Ouro Branco,"0,6110","0,6376","0,7934","0,4020",2408508
Nordeste,PE,Palmares,"0,6110","0,5604","0,6921","0,5804",2610004
Sudeste,MG,Acaiaca,"0,6110","0,8215","0,5134","0,4982",3100401
Sudeste,SP,Francisco Morato,"0,6110","0,7243","0,5674","0,5412",3516309
Sudeste,MG,Montezuma,"0,6109","0,6934","0,7335","0,4058",3143450
Sudeste,SP,Marabá Paulista,"0,6109","0,6541","0,6225","0,5560",3528700
Nordeste,CE,Caucaia,"0,6108","0,7036","0,5684","0,5605",2303709
Sudeste,MG,Ressaquinha,"0,6108","0,7300","0,5088","0,5937",3154408
Nordeste,CE,Chaval,"0,6107","0,7629","0,6663","0,4029",2303907
Sudeste,MG,Senhora de Oliveira,"0,6107","0,6436","0,7769","0,4117",3166006
Sul,RS,Porto Mauá,"0,6107","0,6357","0,5699","0,6264",4315057
Sudeste,MG,Catas Altas,"0,6106","0,6523","0,4279","0,7517",3115359
Centro-Oeste,GO,Abadiânia,"0,6106","0,5538","0,6177","0,6604",5200100
Sul,RS,Faxinalzinho,"0,6104","0,6571","0,6669","0,5071",4308052
Centro-Oeste,GO,Caldazinha,"0,6104","0,6063","0,7193","0,5056",5204557
Centro-Oeste,GO,Taquaral de Goiás,"0,6104","0,5688","0,6736","0,5887",5221007
Sudeste,MG,São João do Manteninha,"0,6103","0,6309","0,6026","0,5973",3162575
Sudeste,SP,Ribeirão dos Índios,"0,6103","0,7711","0,5698","0,4901",3543238
Centro-Oeste,MS,Caracol,"0,6103","0,5846","0,5771","0,6693",5002803
Sul,PR,Santo Antônio do Caiuá,"0,6101","0,6790","0,5458","0,6054",4124202
Sul,SC,Tigrinhos,"0,6099","0,6667","0,5812","0,5817",4217956
Centro-Oeste,MT,Dom Aquino,"0,6099","0,7330","0,4058","0,6908",5103601
Centro-Oeste,GO,Itapaci,"0,6099","0,6402","0,5461","0,6434",5210901
Sudeste,MG,Miradouro,"0,6097","0,6073","0,7021","0,5197",3142106
Centro-Oeste,MT,Nortelândia,"0,6095","0,6245","0,5179","0,6861",5106000
Centro-Oeste,GO,Cumari,"0,6095","0,6643","0,5874","0,5769",5206602
Sudeste,MG,Capitão Enéas,"0,6093","0,5822","0,6277","0,6181",3112703
Sudeste,MG,Guidoval,"0,6093","0,6532","0,5567","0,6180",3128808
Sudeste,MG,Oliveira Fortes,"0,6091","0,6817","0,6796","0,4660",3145703
Sul,RS,Tapes,"0,6090","0,6070","0,6062","0,6139",4321105
Centro-Oeste,GO,Gameleira de Goiás,"0,6090","0,5825","0,6671","0,5773",5208152
Sudeste,SP,General Salgado,"0,6087","0,7600","0,4421","0,6241",3516903
Sudeste,SP,Presidente Bernardes,"0,6087","0,7238","0,4173","0,6849",3541208
Sul,RS,Santa Cecília do Sul,"0,6087","0,6156","0,5772","0,6333",4316733
Centro-Oeste,MS,Anastácio,"0,6086","0,5947","0,5526","0,6786",5000708
Sul,RS,Cerro Branco,"0,6085","0,5785","0,7458","0,5012",4305132
Sudeste,MG,Conselheiro Pena,"0,6083","0,6210","0,5373","0,6665",3118403
Sul,PR,Nova América da Colina,"0,6082","0,8245","0,4563","0,5439",4116604
Nordeste,PI,Oeiras,"0,6081","0,7354","0,6101","0,4788",2207009
Nordeste,PE,Bezerros,"0,6081","0,6261","0,6403","0,5579",2601904
Nordeste,SE,Lagarto,"0,6081","0,6378","0,6289","0,5577",2803500
Nordeste,BA,Ipiaú,"0,6080","0,5981","0,6641","0,5619",2913903
Sudeste,RJ,Campos dos Goytacazes,"0,6080","0,5663","0,5857","0,6720",3301009
Sudeste,MG,Turvolândia,"0,6078","0,7151","0,4998","0,6084",3169802
Centro-Oeste,GO,Santa Cruz de Goiás,"0,6078","0,4277","0,6970","0,6988",5219209
Sudeste,SP,Potim,"0,6077","0,7315","0,6096","0,4819",3540754
Centro-Oeste,GO,Cromínia,"0,6076","0,6129","0,6583","0,5517",5206503
Sudeste,RJ,Miracema,"0,6073","0,7415","0,5187","0,5616",3303005
Sul,PR,Itaperuçu,"0,6073","0,5470","0,5881","0,6867",4111258
Sul,RS,São Pedro das Missões,"0,6072","0,5994","0,7096","0,5126",4319364
Centro-Oeste,MS,Guia Lopes da Laguna,"0,6072","0,6456","0,4899","0,6861",5004106
Sul,PR,Diamante D'Oeste,"0,6069","0,6668","0,6011","0,5527",4107157
Centro-Oeste,MT,Canarana,"0,6069","0,5401","0,3914","0,8892",5102702
Sudeste,MG,São João Evangelista,"0,6068","0,7242","0,6175","0,4788",3162807
Nordeste,PI,Ribeiro Gonçalves,"0,6067","0,6199","0,4327","0,7676",2208908
Sudeste,MG,Pratápolis,"0,6067","0,6545","0,5616","0,6041",3152907
Sudeste,MG,Andrelândia,"0,6066","0,5636","0,6535","0,6028",3102803
Norte,TO,Marianópolis do Tocantins,"0,6062","0,5925","0,5010","0,7250",1712504
Sul,RS,Canguçu,"0,6062","0,5908","0,6877","0,5401",4304507
Nordeste,CE,Coreaú,"0,6061","0,8582","0,6934","0,2667",2304004
Centro-Oeste,GO,Goianira,"0,6061","0,5901","0,6058","0,6225",5208806
Nordeste,PB,Sertãozinho,"0,6060","0,6963","0,6880","0,4337",2515930
Centro-Oeste,GO,Itauçu,"0,6060","0,8284","0,3135","0,6760",5211404
Norte,TO,Bernardo Sayão,"0,6059","0,6495","0,5979","0,5704",1703206
Nordeste,CE,Crateús,"0,6059","0,7349","0,5817","0,5012",2304103
Nordeste,CE,Acaraú,"0,6058","0,7170","0,7204","0,3800",2300200
Sudeste,ES,Muqui,"0,6057","0,7103","0,6024","0,5045",3203809
Sudeste,MG,Carvalhópolis,"0,6056","0,7153","0,6066","0,4948",3114709
Sudeste,MG,Senador José Bento,"0,6054","0,6813","0,7323","0,4026",3165800
Centro-Oeste,MT,Carlinda,"0,6053","0,6612","0,5153","0,6395",5102793
Centro-Oeste,GO,Campinorte,"0,6053","0,6192","0,5832","0,6135",5204706
Sudeste,MG,Prudente de Morais,"0,6052","0,6192","0,5673","0,6290",3153608
Nordeste,PB,Serra Grande,"0,6051","0,7063","0,6809","0,4280",2515708
Nordeste,PE,Garanhuns,"0,6051","0,6222","0,6302","0,5629",2606002
Sudeste,MG,Marliéria,"0,6051","0,5993","0,7034","0,5125",3140308
Centro-Oeste,MT,Porto Alegre do Norte,"0,6051","0,5815","0,5294","0,7045",5106778
Sudeste,MG,Doresópolis,"0,6050","0,6147","0,5588","0,6414",3123403
Sudeste,MG,Ibirité,"0,6050","0,6351","0,5820","0,5980",3129806
Sudeste,SP,Pirapora do Bom Jesus,"0,6049","0,6878","0,4675","0,6594",3539103
Sul,RS,São José do Norte,"0,6049","0,4151","0,6595","0,7402",4318507
Nordeste,AL,Capela,"0,6047","0,6719","0,7333","0,4088",2701704
Sudeste,MG,José Gonçalves de Minas,"0,6047","0,8219","0,6598","0,3323",3136520
Nordeste,PB,Princesa Isabel,"0,6045","0,6823","0,7170","0,4141",2512309
Sudeste,MG,Corinto,"0,6045","0,6397","0,5911","0,5826",3119104
Sul,RS,Ibarama,"0,6045","0,6220","0,6916","0,4999",4309753
Sul,RS,Três Forquilhas,"0,6045","0,6505","0,7018","0,4612",4321832
Nordeste,PB,Serra da Raiz,"0,6044","0,7231","0,6671","0,4231",2515609
Nordeste,PE,Tabira,"0,6044","0,7306","0,7105","0,3722",2614600
Sudeste,SP,Barra do Chapéu,"0,6044","0,7975","0,5381","0,4775",3505351
Sudeste,MG,Carmo de Minas,"0,6043","0,5542","0,5563","0,7024",3114105
Sudeste,MG,Jaboticatubas,"0,6041","0,5718","0,6364","0,6042",3134608
Nordeste,PB,Conde,"0,6040","0,4883","0,5888","0,7349",2504603
Sul,RS,Muitos Capões,"0,6039","0,5205","0,4419","0,8493",4312617
Centro-Oeste,MS,Nioaque,"0,6039","0,5671","0,6160","0,6286",5005806
Sudeste,SP,João Ramalho,"0,6037","0,8001","0,4965","0,5145",3525607
Sul,RS,Floriano Peixoto,"0,6037","0,7483","0,5883","0,4746",4308250
Nordeste,CE,Guaiúba,"0,6036","0,7028","0,6916","0,4165",2304954
Sul,RS,Barracão,"0,6035","0,6293","0,5631","0,6181",4301800
Norte,TO,Itapiratins,"0,6034","0,7676","0,5916","0,4510",1710904
Sudeste,RJ,São José do Vale do Rio Preto,"0,6034","0,5199","0,5526","0,7378",3305158
Sudeste,SP,Balbinos,"0,6034","0,7500","0,6367","0,4234",3504701
Sul,RS,Santo Expedito do Sul,"0,6034","0,6771","0,6160","0,5172",4317954
Sudeste,MG,Piedade do Rio Grande,"0,6033","0,5750","0,6132","0,6217",3150307
Nordeste,RN,Ruy Barbosa,"0,6032","0,6254","0,7936","0,3905",2411106
Sudeste,MG,Santo Antônio do Rio Abaixo,"0,6032","0,7683","0,6300","0,4114",3160504
Centro-Oeste,MT,Paranatinga,"0,6032","0,5674","0,3761","0,8661",5106307
Sul,SC,Formosa do Sul,"0,6031","0,7108","0,4695","0,6290",4205431
Nordeste,AL,Pilar,"0,6030","0,7455","0,5123","0,5512",2706901
Nordeste,BA,Guanambi,"0,6030","0,5091","0,7001","0,5999",2911709
Nordeste,PE,São José do Egito,"0,6029","0,7530","0,6293","0,4265",2613602
Sudeste,SP,São José da Bela Vista,"0,6028","0,6076","0,6557","0,5451",3549508
Sul,PR,Campina do Simão,"0,6028","0,6571","0,5587","0,5925",4103958
Sul,PR,Antônio Olinto,"0,6027","0,6474","0,6261","0,5345",4101309
Nordeste,PB,São Domingos,"0,6025","0,6344","0,7133","0,4597",2513968
Sudeste,MG,Onça de Pitangui,"0,6025","0,5074","0,6662","0,6339",3145802
Sul,RS,Itacurubi,"0,6025","0,5736","0,6926","0,5414",4310553
Nordeste,AL,Boca da Mata,"0,6024","0,7310","0,6830","0,3932",2701001
Nordeste,SE,Carmópolis,"0,6024","0,5997","0,4896","0,7178",2801504
Sudeste,SP,Lupércio,"0,6024","0,6715","0,4797","0,6560",3527801
Norte,TO,São Salvador do Tocantins,"0,6023","0,6382","0,6365","0,5321",1720259
Sudeste,RJ,Cambuci,"0,6023","0,7384","0,5913","0,4771",3300902
Norte,TO,Xambioá,"0,6022","0,6114","0,5742","0,6210",1722107
Sudeste,MG,Lima Duarte,"0,6022","0,6669","0,5349","0,6047",3138609
Centro-Oeste,MT,Gaúcha do Norte,"0,6022","0,4811","0,4847","0,8409",5103858
Nordeste,RN,Açu,"0,6021","0,5623","0,6948","0,5491",2400208
Nordeste,AL,Palmeira dos Índios,"0,6021","0,7540","0,5751","0,4773",2706307
Sudeste,MG,Tombos,"0,6021","0,7313","0,5379","0,5371",3169208
Nordeste,CE,Uruburetama,"0,6020","0,8009","0,5292","0,4758",2313807
Centro-Oeste,GO,Mimoso de Goiás,"0,6020","0,5328","0,7035","0,5696",5213053
Sul,RS,Salto do Jacuí,"0,6017","0,4805","0,6314","0,6933",4316451
Nordeste,CE,Jaguaretama,"0,6016","0,6777","0,7408","0,3862",2306702
Sudeste,SP,Sete Barras,"0,6016","0,6097","0,6045","0,5907",3551801
Sul,PR,Tamarana,"0,6015","0,5517","0,5868","0,6661",4126678
Sul,RS,Maquiné,"0,6015","0,5387","0,5810","0,6848",4311775
Sudeste,MG,Buenópolis,"0,6013","0,6577","0,6514","0,4948",3109204
Sudeste,ES,Irupi,"0,6012","0,7177","0,5953","0,4907",3202652
Sul,RS,Jóia,"0,6012","0,5463","0,6895","0,5678",4311155
Centro-Oeste,GO,Campestre de Goiás,"0,6012","0,6385","0,7096","0,4556",5204607
Sul,PR,Farol,"0,6011","0,6422","0,5920","0,5690",4107553
Sul,PR,Goioxim,"0,6011","0,6157","0,5806","0,6069",4108650
Sul,PR,Imbaú,"0,6010","0,5818","0,6054","0,6158",4110078
Norte,TO,Miranorte,"0,6009","0,6219","0,5642","0,6166",1713304
Sudeste,MG,São João do Paraíso,"0,6008","0,6910","0,6494","0,4620",3162708
Sudeste,MG,Nova Resende,"0,6007","0,5888","0,6313","0,5820",3145109
Sul,RS,Itapuca,"0,6007","0,6432","0,6531","0,5059",4310579
Sudeste,MG,São José do Goiabal,"0,6006","0,6958","0,5911","0,5148",3163409
Nordeste,CE,Ereré,"0,6005","0,7791","0,6991","0,3234",2304277
Nordeste,CE,Ibicuitinga,"0,6005","0,7918","0,7346","0,2750",2305332
Sul,PR,São José da Boa Vista,"0,6005","0,6651","0,5576","0,5788",4125407
Sul,RS,Mampituba,"0,6005","0,5894","0,6479","0,5643",4311734
Nordeste,RN,São João do Sabugi,"0,6004","0,8285","0,6838","0,2889",2412104
Sudeste,MG,Ewbank da Câmara,"0,6004","0,6768","0,5948","0,5296",3125002
Centro-Oeste,MT,Novo São Joaquim,"0,6003","0,6294","0,4025","0,7690",5106281
Nordeste,CE,Itapajé,"0,6002","0,7398","0,5576","0,5032",2306306
Nordeste,CE,Milagres,"0,6002","0,7695","0,6064","0,4247",2308302
Sul,RS,Vitória das Missões,"0,6002","0,6396","0,6798","0,4812",4323754
Norte,TO,Araguaçu,"0,6001","0,6199","0,4847","0,6956",1702000
Sudeste,MG,Raul Soares,"0,6001","0,6083","0,6562","0,5358",3154002
Centro-Oeste,MT,Peixoto de Azevedo,"0,6001","0,5824","0,5073","0,7106",5106422
Nordeste,CE,Pacujá,"0,6000","0,7914","0,6500","0,3587",2309904
Sul,PR,Altamira do Paraná,"0,6000","0,7382","0,5120","0,5497",4100459
Nordeste,PB,Aguiar,"0,5999","0,7725","0,7630","0,2643",2500205
Centro-Oeste,MT,Pontal do Araguaia,"0,5999","0,6585","0,5410","0,6001",5106653
Nordeste,AL,Murici,"0,5998","0,7512","0,4864","0,5618",2705507
Sul,PR,Mariluz,"0,5998","0,6536","0,6488","0,4969",4115101
Nordeste,CE,Nova Russas,"0,5997","0,7863","0,6048","0,4081",2309300
Sudeste,MG,Piranga,"0,5997","0,6437","0,6795","0,4758",3150802
Centro-Oeste,GO,Ivolândia,"0,5997","0,5261","0,6835","0,5894",5211602
Norte,TO,Talismã,"0,5996","0,4707","0,5954","0,7326",1720978
Nordeste,RN,Santa Cruz,"0,5996","0,6297","0,7069","0,4623",2411205
Nordeste,PE,Machados,"0,5996","0,6793","0,6499","0,4696",2609105
Nordeste,CE,Alcântaras,"0,5995","0,8065","0,6730","0,3191",2300507
Sul,RS,Dom Pedrito,"0,5995","0,5055","0,5898","0,7031",4306601
Nordeste,CE,Redenção,"0,5994","0,7622","0,5535","0,4825",2311603
Sudeste,MG,Arantina,"0,5994","0,7766","0,4286","0,5931",3103603
Centro-Oeste,GO,Guapó,"0,5993","0,6797","0,6031","0,5152",5209200
Nordeste,PB,Sumé,"0,5992","0,7243","0,6587","0,4145",2516300
Sudeste,MG,Lamim,"0,5990","0,6874","0,6956","0,4140",3137908
Sudeste,MG,Virginópolis,"0,5990","0,6324","0,6341","0,5304",3171808
Sudeste,ES,São José do Calçado,"0,5990","0,7604","0,5454","0,4912",3204807
Sul,RS,Tiradentes do Sul,"0,5990","0,6142","0,6780","0,5049",4321477
Norte,TO,Juarina,"0,5989","0,6856","0,6812","0,4299",1711803
Sul,SC,Águas de Chapecó,"0,5987","0,5405","0,6051","0,6506",4200507
Sul,RS,Entre-Ijuís,"0,5987","0,4973","0,5755","0,7233",4306932
Centro-Oeste,MT,Alto Boa Vista,"0,5987","0,6067","0,5497","0,6396",5100359
Nordeste,PI,Miguel Leão,"0,5986","0,6116","0,6531","0,5311",2206308
Sudeste,MG,Dores de Guanhães,"0,5984","0,5968","0,6718","0,5267",3123106
Norte,TO,Silvanópolis,"0,5983","0,6880","0,5315","0,5753",1720655
Sudeste,MG,Datas,"0,5983","0,7205","0,5771","0,4974",3121001
Sudeste,MG,Itueta,"0,5983","0,6959","0,6257","0,4734",3134103
Nordeste,CE,Senador Sá,"0,5981","0,8698","0,6864","0,2380",2312809
Sul,SC,José Boiteux,"0,5981","0,5022","0,5236","0,7684",4209151
Sul,PR,Godoy Moreira,"0,5980","0,7795","0,6177","0,3968",4108551
Nordeste,PB,Gurjão,"0,5979","0,7376","0,6721","0,3839",2506509
Sudeste,MG,Taquaraçu de Minas,"0,5978","0,6237","0,6737","0,4961",3168309
Nordeste,CE,Palmácia,"0,5977","0,7721","0,7330","0,2881",2310100
Sudeste,MG,Rio Novo,"0,5976","0,5649","0,6795","0,5483",3155405
Sul,PR,Alto Paraná,"0,5976","0,6636","0,4036","0,7256",4100608
Nordeste,RN,Arês,"0,5975","0,3980","0,6876","0,7068",2401206
Nordeste,BA,Juazeiro,"0,5975","0,5383","0,6037","0,6504",2918407
Norte,TO,Brasilândia do Tocantins,"0,5974","0,7354","0,5086","0,5481",1703602
Nordeste,PI,Picos,"0,5974","0,6220","0,5860","0,5841",2208007
Nordeste,SE,Laranjeiras,"0,5974","0,5861","0,4290","0,7772",2803609
Nordeste,PE,Vitória de Santo Antão,"0,5973","0,5499","0,6150","0,6269",2616407
Sul,RS,Jaguarão,"0,5973","0,5445","0,6190","0,6283",4311007
Norte,RO,Urupá,"0,5971","0,5516","0,6275","0,6123",1101708
Sudeste,MG,Naque,"0,5971","0,6616","0,6680","0,4616",3144359
Centro-Oeste,GO,Nova América,"0,5970","0,7197","0,5889","0,4823",5214705
Norte,PA,Ulianópolis,"0,5969","0,6824","0,5035","0,6047",1508126
Sudeste,ES,Mucurici,"0,5969","0,5980","0,6092","0,5836",3203601
Norte,TO,Abreulândia,"0,5968","0,6502","0,5637","0,5765",1700251
Norte,TO,Almas,"0,5968","0,6729","0,4290","0,6885",1700400
Nordeste,PB,Monteiro,"0,5967","0,7358","0,6052","0,4490",2509701
Nordeste,PI,Simplício Mendes,"0,5966","0,7640","0,6459","0,3800",2210805
Nordeste,SE,Itabaiana,"0,5966","0,5427","0,6284","0,6188",2802908
Norte,RO,Cabixi,"0,5965","0,6464","0,5638","0,5793",1100031
Nordeste,BA,Itapetinga,"0,5965","0,5179","0,5990","0,6727",2916401
Sul,SC,Leoberto Leal,"0,5965","0,6300","0,5108","0,6486",4209805
Nordeste,BA,Cruz das Almas,"0,5964","0,5046","0,6863","0,5983",2909802
